filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F115W,1.154,0.225,2022-06-29T05:18:29.244Z,NRCB2,2048,2048,0.07853856,0.0782089,jw01324001001_11201_00003_nrcb2_rate.fits,1,1,NIRCAM,1159.571,3.1282,0.245684323392
F115W,1.154,0.225,2022-06-29T05:41:34.459Z,NRCA1,2048,2048,0.0788808315992355,0.0787861,jw01324001001_11201_00004_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.9628,0.23370812786221498
F150W,1.501,0.318,2022-06-29T07:50:13.991Z,NRCB4,2048,2048,0.11881084,0.11809797,jw01324001001_15201_00004_nrcb4_rate.fits,1,1,NIRCAM,1159.571,2.0288,0.241043432192
F444W,4.408,1.029,2022-06-29T01:05:06.123Z,NRCALONG,2048,2048,0.74701804,0.7510692,jw01324001001_05201_00003_nrcalong_rate.fits,1,1,NIRCAM,1159.571,0.3925,0.29320458070000005
F200W,1.989,0.457,2022-06-29T10:20:54.573Z,NRCA3,2048,2048,0.103677094,0.10315415,jw01324001001_18201_00001_nrca3_rate.fits,1,1,NIRCAM,311.366,1.8281,0.1895320955414
F090W,0.902,0.194,2022-06-29T01:05:06.123Z,NRCA2,2048,2048,0.0700163543224334,0.06999987,jw01324001001_05201_00003_nrca2_rate.fits,1,1,NIRCAM,1159.571,3.2824,0.2298216814279554
F200W,1.989,0.457,2022-06-29T08:47:08.260Z,NRCB2,2048,2048,0.0976798,0.09712609,jw01324001001_17201_00001_nrcb2_rate.fits,1,1,NIRCAM,1159.571,1.9519,0.19066120162
F115W,1.154,0.225,2022-06-29T06:13:46.887Z,NRCB1,2048,2048,0.0687260776758194,0.06832657,jw01324001001_12201_00002_nrcb1_rate.fits,1,1,NIRCAM,311.366,3.2719,0.22486485354751348
F115W,1.154,0.225,2022-06-29T06:20:56.583Z,NRCA3,2048,2048,0.0833909511566162,0.08310191,jw01324001001_12201_00003_nrca3_rate.fits,1,1,NIRCAM,311.366,2.9486,0.2458865585803985
F090W,0.902,0.194,2022-06-28T23:22:44.561Z,NRCB2,2048,2048,0.06356371,0.06334687,jw01324001001_03201_00004_nrcb2_rate.fits,1,1,NIRCAM,1159.571,3.4274,0.217858259654
F444W,4.408,1.029,2022-06-29T05:41:45.019Z,NRCBLONG,2048,2048,0.7732321,0.77411824,jw01324001001_11201_00004_nrcblong_rate.fits,1,1,NIRCAM,1159.571,0.3728,0.28826092688
F200W,1.989,0.457,2022-06-29T09:10:13.539Z,NRCA3,2048,2048,0.1014064103364944,0.10103002,jw01324001001_17201_00002_nrca3_rate.fits,1,1,NIRCAM,1159.571,1.8281,0.18538105873614544
F150W,1.501,0.318,2022-06-29T08:22:16.051Z,NRCA4,2048,2048,0.111721456,0.111128286,jw01324001001_16201_00002_nrca4_rate.fits,1,1,NIRCAM,311.366,2.1021,0.2348496726576
F200W,1.989,0.457,2022-06-29T10:28:14.572Z,NRCB2,2048,2048,0.0960770025849342,0.09516758,jw01324001001_18201_00002_nrcb2_rate.fits,1,1,NIRCAM,311.366,1.9519,0.18753270134553307
F356W,3.568,0.781,2022-06-29T07:04:25.578Z,NRCALONG,2048,2048,0.2622019350528717,0.26304168,jw01324001001_15201_00002_nrcalong_rate.fits,1,1,NIRCAM,1159.571,0.4047,0.10611312311589718
F444W,4.408,1.029,2022-06-28T22:13:50.933Z,NRCBLONG,2048,2048,0.775482714176178,0.7764092,jw01324001001_03201_00001_nrcblong_rate.fits,1,1,NIRCAM,1159.571,0.3728,0.2890999558448792
F115W,1.154,0.225,2022-06-29T03:36:50.754Z,NRCB1,2048,2048,0.0742879062891006,0.07408317,jw01324001001_09201_00004_nrcb1_rate.fits,1,1,NIRCAM,1159.571,3.2719,0.24306260058730828
F090W,0.902,0.194,2022-06-29T00:18:56.014Z,NRCA1,2048,2048,0.0702337026596069,0.070162535,jw01324001001_05201_00001_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.9961,0.21042719653844827
F200W,1.989,0.457,2022-06-29T09:33:07.617Z,NRCB1,2048,2048,0.096235305070877,0.09588325,jw01324001001_17201_00003_nrcb1_rate.fits,1,1,NIRCAM,1159.571,2.0223,0.19461665744483456
F150W,1.501,0.318,2022-06-29T07:50:14.183Z,NRCA1,2048,2048,0.1040718704462051,0.103974864,jw01324001001_15201_00004_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.2512,0.2342865947484969
F090W,0.902,0.194,2022-06-28T23:55:07.997Z,NRCA2,2048,2048,0.0800892114639282,0.08046381,jw01324001001_04201_00002_nrca2_rate.fits,1,1,NIRCAM,311.366,3.2824,0.2628848277091979
F115W,1.154,0.225,2022-06-29T04:23:11.629Z,NRCB3,2048,2048,0.0803509,0.08054081,jw01324001001_10201_00004_nrcb3_rate.fits,1,1,NIRCAM,311.366,3.1863,0.25602207267000004
F115W,1.154,0.225,2022-06-29T05:41:45.019Z,NRCB4,2048,2048,0.087608434,0.08712727,jw01324001001_11201_00004_nrcb4_rate.fits,1,1,NIRCAM,1159.571,2.6985,0.236411359149
F115W,1.154,0.225,2022-06-29T03:36:50.946Z,NRCA4,2048,2048,0.0862967073917388,0.08606812,jw01324001001_09201_00004_nrca4_rate.fits,1,1,NIRCAM,1159.571,2.7757,0.23953377070724938
