filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F090W,0.902,0.194,2022-06-07T02:38:00.421Z,NRCB1,2048,2048,0.057202067,0.056808505,jw02736001001_02101_00009_nrcb1_rate.fits,1,1,NIRCAM,837.468,3.564,0.20386816678800002
F090W,0.902,0.194,2022-06-07T01:21:03.658Z,NRCB2,2048,2048,0.0574820414185524,0.057110492,jw02736001001_02101_00004_nrcb2_rate.fits,1,1,NIRCAM,837.468,3.4274,0.19701394875794648
F356W,3.568,0.781,2022-06-07T03:42:58.210Z,NRCALONG,2048,2048,0.2521487772464752,0.25208032,jw02736001001_02103_00004_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.4047,0.10204461015164852
F150W,1.501,0.318,2022-06-07T03:42:57.890Z,NRCB4,2048,2048,0.0993892699480056,0.09839735,jw02736001001_02103_00004_nrcb4_rate.fits,1,1,NIRCAM,837.468,2.0288,0.20164095087051376
F356W,3.568,0.781,2022-06-07T04:59:55.037Z,NRCALONG,2048,2048,0.2528111934661865,0.25262198,jw02736001001_02103_00009_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.4047,0.10231268999576569
F090W,0.902,0.194,2022-06-07T01:51:50.376Z,NRCB1,2048,2048,0.0555440448224544,0.05512191,jw02736001001_02101_00006_nrcb1_rate.fits,1,1,NIRCAM,837.468,3.564,0.19795897574722748
F277W,2.762,0.683,2022-06-07T02:22:37.094Z,NRCBLONG,2048,2048,0.2337883859872818,0.22889446,jw02736001001_02101_00008_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.4175,0.09760665114969015
F090W,0.902,0.194,2022-06-07T02:07:14.023Z,NRCA3,2048,2048,0.0632466450333595,0.06304337,jw02736001001_02101_00007_nrca3_rate.fits,1,1,NIRCAM,837.468,2.954,0.18683058942854397
F444W,4.408,1.029,2022-06-07T06:35:39.223Z,NRCALONG,2048,2048,0.6102721691131592,0.6126985,jw02736001001_02105_00006_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.3925,0.23953182637691497
F277W,2.762,0.683,2022-06-07T01:36:26.985Z,NRCBLONG,2048,2048,0.2326246798038482,0.22703803,jw02736001001_02101_00005_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.4175,0.09712080381810663
F200W,1.989,0.457,2022-06-07T05:33:54.715Z,NRCB2,2048,2048,0.0798816308379173,0.078954875,jw02736001001_02105_00002_nrcb2_rate.fits,1,1,NIRCAM,837.468,1.9519,0.15592095523253077
F150W,1.501,0.318,2022-06-07T03:42:58.210Z,NRCA1,2048,2048,0.0871257781982421,0.08667687,jw02736001001_02103_00004_nrca1_rate.fits,1,1,NIRCAM,837.468,2.2512,0.1961375518798826
F356W,3.568,0.781,2022-06-07T04:29:07.999Z,NRCBLONG,2048,2048,0.28649896,0.2826198,jw02736001001_02103_00007_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.376,0.10772360896000001
F200W,1.989,0.457,2022-06-07T07:06:25.942Z,NRCA2,2048,2048,0.07471451,0.07451965,jw02736001001_02105_00008_nrca2_rate.fits,1,1,NIRCAM,837.468,2.0807,0.15545848095700002
F150W,1.501,0.318,2022-06-07T03:58:21.281Z,NRCB3,2048,2048,0.0829317569732666,0.082187004,jw02736001001_02103_00005_nrcb3_rate.fits,1,1,NIRCAM,837.468,2.3518,0.19503890604972837
F150W,1.501,0.318,2022-06-07T04:13:44.928Z,NRCA2,2048,2048,0.0856763,0.08532932,jw02736001001_02103_00006_nrca2_rate.fits,1,1,NIRCAM,837.468,2.3836,0.20421802868
F444W,4.408,1.029,2022-06-07T07:06:25.622Z,NRCBLONG,2048,2048,0.6447827,0.64263004,jw02736001001_02105_00008_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.3728,0.24037499056000003
F200W,1.989,0.457,2022-06-07T05:18:31.644Z,NRCA3,2048,2048,0.08429485,0.08387104,jw02736001001_02105_00001_nrca3_rate.fits,1,1,NIRCAM,837.468,1.8281,0.154099415285
F444W,4.408,1.029,2022-06-07T06:20:15.576Z,NRCBLONG,2048,2048,0.6422097086906433,0.63976645,jw02736001001_02105_00005_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.3728,0.23941577939987183
F277W,2.762,0.683,2022-06-07T01:51:50.632Z,NRCALONG,2048,2048,0.1924152076244354,0.19227202,jw02736001001_02101_00006_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.4908,0.0944373839020729
F090W,0.902,0.194,2022-06-07T01:51:50.632Z,NRCA4,2048,2048,0.06542767,0.06527039,jw02736001001_02101_00006_nrca4_rate.fits,1,1,NIRCAM,837.468,2.9096,0.190368348632
